code_usine;lat;lon;display_name;importance;Adresse  ;Code postal INSEE;INSEE;commune;postal;Ligne_5;type
1;46.6872318;0.6183598;86210, Berthoin, Bonneuil-Matours, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12005902265964746;D3;86009;86009;ARCHIGNY;86210;;postal_code
2;46.7288137;0.4412383;La Tricherie, Rue de la Gare, La Tricherie, Beaumont, Beaumont Saint-Cyr, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86490, France;0,19320077280132728;La Tricherie;86019;86019;BEAUMONT ST CYR;86130;ST CYR;halt
3;46.1520201;0.4183731;86250, Chateauneuf, Charroux, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12005976424811164;11 route de Chatin;86061;86061;CHARROUX;86250;;postal_code
4;46.1520201;0.4183731;86250, Chateauneuf, Charroux, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12005976424811164;1 rue de bancs;86061;86061;CHARROUX;86250;;postal_code
5;46.6534010;0.3772014;Rue Leclanché, Chasseneuil-du-Poitou, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86360, France;0,05340342030975811;Rue Leclanché ;86062;86062;CHASSENEUIL DU POITOU;86360;;residential
6;46.6399448;0.4241396;86360, Montamisé, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12007008697642477;Rue Georges Leclanché;86062;86062;CHASSENEUIL DU POITOU;86360;;postal_code
7;46.6237743;0.3630666;Route de Saint-Georges, Chasseneuil-du-Poitou, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86360, France;0,05340342030975811;Route de Saint-Georges;86062;86062;CHASSENEUIL DU POITOU;86360;;secondary
8;46.6399448;0.4241396;86360, Montamisé, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12007008697642477;Rue du XXI siècle;86062;86062;CHASSENEUIL DU POITOU;86360;;postal_code
9;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297;Gd Rue de Châteauneuf;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
10;46.8171027;0.5322383;73, Rue de Thuré, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;73 rue de Thuré;86066;86066;CHATELLERAULT;86100;TARGE;house
11;46.7968016;0.5502950;27, Rue du Paradis, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;27 Rue du Paradis;86066;86066;CHATELLERAULT;86100;TARGE;house
12;46.8401059;0.5485476;Allée d’Argenson, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;All. d'Argenson;86066;86066;CHATELLERAULT;86100;TARGE;residential
13;46.8232225;0.5447281;Avenue Jean Jaurès, Faubourg Sainte-Catherine, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;20 Av. Jean Jaurès;86066;86066;CHATELLERAULT;86100;TARGE;secondary
14;46.8193246;0.5395410;2, Rue de Verdun, Faubourg Sainte-Catherine, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;2 rue de Verdun;86066;86066;CHATELLERAULT;86100;TARGE;house
15;46.8354481;0.5336495;Avenue Alfred Nobel, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;12 Av. Alfred Nobel;86066;86066;CHATELLERAULT;86100;TARGE;tertiary
16;46.8317537;0.5289665;Chemin de la Massonne, L'Aiguillon, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;12 Chemin de la Massonne;86066;86066;CHATELLERAULT;86100;TARGE;unclassified
17;46.8163198;0.5438149;45, Rue Bourbon, Faubourg Saint-Jacques, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;45 Rue Bourbon;86066;86066;CHATELLERAULT;86100;TARGE;house
18;46.8184207;0.5440165;118, Rue Bourbon, Faubourg Sainte-Catherine, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;118 Rue Bourbon;86066;86066;CHATELLERAULT;86100;TARGE;house
19;46.8163528;0.5445937;13, Rue de l'Arceau, Faubourg Saint-Jacques, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;13 Rue de l'Arceau;86066;86066;CHATELLERAULT;86100;TARGE;house
20;46.8162285;0.5444780;45, Rue des Limousins, Faubourg Saint-Jacques, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;45 Rue des Limousins;86066;86066;CHATELLERAULT;86100;TARGE;house
21;46.8154462;0.5498213;49, Rue Arsène et Jean Lambert, Faubourg Saint-Jacques, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;49 Rue Arsène et Jean Lambert;86066;86066;CHATELLERAULT;86100;TARGE;house
22;46.8168610;0.5439037;54, Rue Bourbon, Faubourg Saint-Jacques, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;54 Rue Bourbon;86066;86066;CHATELLERAULT;86100;TARGE;house
23;46.7605965;0.5553031;11, Rue Auguste Sutter, Availles-en-Châtellerault, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86530, France;5,897535667959132e-05;11 Rue Auguste Sutter;86066;86066;CHATELLERAULT;86100;TARGE;house
24;46.8229591;0.5357330;Rue du Sanital, Faubourg Sainte-Catherine, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;43 Rue du Sanital;86066;86066;CHATELLERAULT;86100;TARGE;residential
25;46.8124180;0.5272440;37, Rue de la Brelandière, La Brelandière, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;37 Rue de la Brelandière;86066;86066;CHATELLERAULT;86100;TARGE;house
26;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297;39 Rue André Charles Boulle;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
27;46.8480048;0.5472044;9, Rue Maryse Bastié, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;5,950637064159636e-05;9 Rue Maryse Bastié;86066;86066;CHATELLERAULT;86100;TARGE;house
28;46.8344201;0.5338490;37, Rue Bernard Palissy, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;37 Rue Bernard Palissy;86066;86066;CHATELLERAULT;86100;TARGE;house
29;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297;6 Rue André Charles Boulle;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
30;46.8473626;0.5471467;Rue Maryse Bastié, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,05339283970397494;22 Rue Maryse Bastié;86066;86066;CHATELLERAULT;86100;TARGE;unclassified
31;46.8226498;0.5279884;Rue Henri Barbusse, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;85 Rue Henri Barbusse;86066;86066;CHATELLERAULT;86100;TARGE;residential
32;46.8427797;0.5438384;26, Rue Amédée Bollée, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;26 Rue Amédée Bollée;86066;86066;CHATELLERAULT;86100;TARGE;house
33;46.8430271;0.5400360;Rue Denis Papin, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;Rue Denis Papin;86066;86066;CHATELLERAULT;86100;TARGE;unclassified
34;46.8387462;0.5463744;Rue des Frères Montgolfier, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;8 Rue des Frères Montgolfier;86066;86066;CHATELLERAULT;86100;TARGE;residential
35;46.8209497;0.5288116;10, Rue Henri Martin, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;10 Rue Henri Martin;86066;86066;CHATELLERAULT;86100;TARGE;house
36;46.8143835;0.5505640;34, Rue Augustin Neveu, Faubourg Saint-Jacques, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;34 Rue Augustin Neveu;86066;86066;CHATELLERAULT;86100;TARGE;house
37;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297;39 Rue André Charles Boulle;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
38;46.8160095;0.5420076;14, Rue de Sully, Faubourg Saint-Jacques, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;14 Rue Sully;86066;86066;CHATELLERAULT;86100;TARGE;house
39;46.8124180;0.5272440;37, Rue de la Brelandière, La Brelandière, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;37 Rue de la Brelandière;86066;86066;CHATELLERAULT;86100;TARGE;house
40;46.8196382;0.5572591;17, Impasse du Maréchal Leclerc, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;17 Imp. du Maréchal Leclerc;86066;86066;CHATELLERAULT;86100;TARGE;house
41;46.8435341;0.5315198;Rue Georges Charpak, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;Rue Georges Charpak;86066;86066;CHATELLERAULT;86100;TARGE;tertiary
42;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297; rue 86100, 39 Rue Maurice Vlaminck;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
43;46.8235889;0.5401818;149, Rue d'Antran, Faubourg Sainte-Catherine, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;149 Rue d'Antran;86066;86066;CHATELLERAULT;86100;TARGE;house
44;46.8473626;0.5471467;Rue Maryse Bastié, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,05339283970397494;Rue Maryse Bastié;86066;86066;CHATELLERAULT;86100;TARGE;unclassified
45;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297;56 Rue de la Rochefoucauld;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
46;46.8354481;0.5336495;Avenue Alfred Nobel, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;24 Av. Alfred Nobel;86066;86066;CHATELLERAULT;86100;TARGE;tertiary
47;46.8074348;0.5432438;28, Avenue Pierre Abelin, Faubourg Saint-Jacques, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;28 Av. Pierre Abelin;86066;86066;CHATELLERAULT;86100;TARGE;house
48;46.8074222;0.5486796;16, Rue des Coquelicots, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;16 Rue des Coquelicots;86066;86066;CHATELLERAULT;86100;TARGE;house
49;46.8160107;0.5342010;Rue des Loges, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;67 Rue des Loges;86066;86066;CHATELLERAULT;86100;TARGE;tertiary
50;46.8229591;0.5357330;Rue du Sanital, Faubourg Sainte-Catherine, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;Rue du Sanital;86066;86066;CHATELLERAULT;86100;TARGE;residential
51;46.8067172;0.5376554;31, Rue Aglophile Fradin, Faubourg Saint-Jacques, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;31 Rue Aglophile Fradin;86066;86066;CHATELLERAULT;86100;TARGE;house
52;46.8242992;0.5335683;Rue du Pin, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;6 Rue du Pin;86066;86066;CHATELLERAULT;86100;TARGE;residential
53;46.8261539;0.5318839;4 bis, Rue Thomas Edison, L'Aiguillon, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;6,267109178297121e-05;4bis Rue Thomas Edison;86066;86066;CHATELLERAULT;86100;TARGE;house
54;46.8354481;0.5336495;Avenue Alfred Nobel, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;1 Av. Alfred Nobel;86066;86066;CHATELLERAULT;86100;TARGE;tertiary
55;46.8124954;0.5285020;Rue de la Brelandière, La Brelandière, Châteauneuf, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;Rue de la Brelandière;86066;86066;CHATELLERAULT;86100;TARGE;tertiary
56;46.8076498;0.5380116;Rue Aglophile Fradin, Faubourg Saint-Jacques, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;Rue Aglophile Fradin;86066;86066;CHATELLERAULT;86100;TARGE;residential
57;46.8166125;0.5482115;Rue Choisnin, Faubourg Saint-Jacques, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;Rue Choisnin;86066;86066;CHATELLERAULT;86100;TARGE;residential
58;46.8139936;0.5473431;Rue Hilaire Gilbert, Faubourg Saint-Jacques, La Plaine d'Ozon, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France;0,053396004425116314;Rue Gilbert;86066;86066;CHATELLERAULT;86100;TARGE;residential
59;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297;zone industrielle nord ;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
60;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297;zone industrielle nord ;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
61;46.8329682;0.5547621;86100, Le Marais, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006267109178297;zone industrielle nord ;86066;86066;CHATELLERAULT;86100;TARGE;postal_code
62;46.5623861;0.6469862;47, Rue de Montmorillon, Chauvigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86300, France;6,027084763862085e-05;47 Rue de Montmorillon;86070;86070;CHAUVIGNY;86300;POUZIOUX;house
63;46.5608931;0.6515535;19, Rue du Planty, Chauvigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86300, France;6,027084763862085e-05;19 Rue du Planty;86070;86070;CHAUVIGNY;86300;POUZIOUX;house
64;46.5449160;0.6910907;86300, Chauvigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006027084763862;D3;86070;86070;CHAUVIGNY;86300;POUZIOUX;postal_code
65;46.5601705;0.6518327;16, Rue du Planty, Chauvigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86300, France;6,027084763862085e-05;16 Rue du Planty;86070;86070;CHAUVIGNY;86300;POUZIOUX;house
66;46.5727278;0.6329188;Rue d'Artiges, Chauvigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86300, France;0,053393604180971964;Rue d'Artiges;86070;86070;CHAUVIGNY;86300;POUZIOUX;residential
67;46.5449160;0.6910907;86300, Chauvigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12006027084763862;Route nationale 151 ;86070;86070;CHAUVIGNY;86300;POUZIOUX;postal_code
